politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q319145,+1904-08-18T00:00:00Z,+1905-07-05T00:00:00Z,NA,Q313805,Q23347,4,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q13527950,+1894-08-03T00:00:00Z,+1899-09-13T00:00:00Z,NA,Q1158950,Q3101527,12,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q18912794,+1901-03-30T00:00:00Z,+1903-08-18T00:00:00Z,Q5284521,NA,NA,NA,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q19202748,+1880-11-17T00:00:00Z,+1894-06-25T00:00:00Z,Q5355359,NA,Q20810952,NA,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q2660943,NA,NA,NA,Q313805,Q152666,NA,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q19202748,+1894-07-17T00:00:00Z,+1901-06-11T00:00:00Z,Q5356009,Q16059300,NA,NA,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q19202748,+1880-12-14T00:00:00Z,+1884-08-03T00:00:00Z,Q5355359,Q20810565,Q6228730,NA,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q19202748,+1894-08-03T00:00:00Z,+1901-03-30T00:00:00Z,Q5356009,Q16059300,Q5356009,NA,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q1533366,NA,NA,NA,NA,NA,NA,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q41582581,+1916-01-11T00:00:00Z,+1918-09-12T00:00:00Z,Q7989218,NA,NA,NA,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q121998,NA,NA,NA,NA,NA,NA,0
Q23352,+1845-02-25T00:00:00Z,Q2240072,+1918-09-12T00:00:00Z,Q18912794,+1903-09-04T00:00:00Z,+1909-12-24T00:00:00Z,Q5284521,Q16029985,NA,NA,0
